City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Grand Gaube,MU,-20.0064,57.6608,75.6,63,58,11.99,broken clouds
306,Visnes,NO,59.3556,5.2242,66.81,77,40,10.36,scattered clouds
307,Upernavik,GL,72.7868,-56.1549,43.07,92,100,14.2,light rain
308,Basco,PH,20.4487,121.9702,83.59,86,100,26.28,overcast clouds
309,Narbonne,FR,43.0833,2.8333,83.32,35,0,8.3,clear sky
310,Derzhavinsk,KZ,51.1,66.3167,73.33,26,0,12.46,clear sky
311,Asahikawa,JP,43.7678,142.3703,79.81,69,75,11.5,broken clouds
312,Mandera,KE,3.9366,41.867,91.53,29,96,22.48,overcast clouds
313,Trelew,AR,-43.249,-65.3051,43.38,54,0,5.41,clear sky
314,Sept-Iles,CA,50.2001,-66.3821,55.06,85,75,3.44,broken clouds
315,Ketchikan,US,55.3422,-131.6461,59.47,88,90,0.0,overcast clouds
316,Tiksi,RU,71.6872,128.8694,50.13,63,10,3.42,clear sky
317,Kloulklubed,PW,7.0419,134.2556,85.05,74,73,3.74,broken clouds
318,Haines Junction,CA,60.7522,-137.5108,40.95,93,100,0.0,overcast clouds
319,Podolinec,SK,49.2587,20.536,75.92,67,82,3.15,broken clouds
320,Dawei,MM,14.0833,98.2,78.8,90,100,5.68,overcast clouds
321,Imeni Poliny Osipenko,RU,52.4201,136.4853,64.58,95,100,13.67,moderate rain
322,Olinda,BR,-8.0089,-34.8553,73.13,83,0,0.0,clear sky
323,Mount Gambier,AU,-37.8333,140.7667,48.11,71,0,10.36,clear sky
324,Kyshtovka,RU,56.555,76.6271,64.15,49,20,11.1,few clouds
325,Ngunguru,NZ,-35.6167,174.5,53.17,86,96,7.05,overcast clouds
326,Cap-Aux-Meules,CA,47.3821,-61.8597,60.85,82,40,8.05,scattered clouds
327,Coihueco,CL,-36.6167,-71.8333,30.94,64,0,3.44,clear sky
328,French Harbor,HN,16.35,-86.4333,80.01,94,87,3.0,overcast clouds
329,Nara,JP,34.6851,135.8049,86.97,94,11,5.68,few clouds
330,Hovd,MN,48.0056,91.6419,75.0,19,27,8.55,scattered clouds
331,Port Hardy,CA,50.6996,-127.4199,59.0,100,40,3.44,scattered clouds
332,Labrea,BR,-7.2586,-64.7981,71.82,54,8,5.41,clear sky
333,Dingle,PH,10.9995,122.6711,80.29,83,100,8.72,overcast clouds
334,Longyearbyen,SJ,78.2186,15.6401,46.24,71,40,12.66,scattered clouds
335,Fairview,US,40.8126,-73.999,72.61,84,75,1.99,broken clouds
336,Luderitz,NA,-26.6481,15.1594,69.91,35,0,17.22,clear sky
337,Pandan,PH,14.0453,124.1694,83.28,78,100,10.56,overcast clouds
338,Vila Velha,BR,-20.3297,-40.2925,67.95,77,75,13.8,broken clouds
339,Zarand,IR,30.8127,56.564,89.06,11,89,15.61,overcast clouds
340,Haradok,BY,55.4624,29.9816,82.51,41,100,5.84,light rain
341,Zaltan,LY,32.947,11.8665,93.13,29,0,9.08,clear sky
342,Galveston,US,29.3669,-94.9669,83.97,90,0,3.94,clear sky
343,Carmen,MX,18.6333,-91.8333,78.15,85,69,11.18,broken clouds
344,La Ronge,CA,55.1001,-105.2842,61.05,77,75,5.75,broken clouds
345,Vila,PT,42.0304,-8.1588,75.74,33,5,4.38,clear sky
346,Asyut,EG,27.181,31.1837,98.78,11,1,18.88,clear sky
347,Corinth,GR,37.9407,22.9573,106.84,37,0,1.01,clear sky
348,Pincher Creek,CA,49.4833,-113.952,64.51,74,75,9.22,broken clouds
349,Svetlogorsk,BY,52.6333,29.7333,87.3,40,24,7.16,few clouds
350,Morogoro,TZ,-6.8167,37.6667,77.13,48,74,3.74,broken clouds
351,Taoudenni,ML,22.6783,-3.9836,107.33,20,75,17.31,broken clouds
352,Belmonte,BR,-15.8631,-38.8828,70.3,82,20,11.52,few clouds
353,Oyem,GA,1.5995,11.5793,76.08,52,55,2.24,light rain
354,Bogo,PH,11.0517,124.0055,83.88,75,100,3.29,overcast clouds
355,Ahuimanu,US,21.4447,-157.8378,78.51,72,40,5.75,scattered clouds
356,Proletariy,RU,58.4342,31.7046,78.64,49,96,8.88,overcast clouds
357,Sinnamary,GF,5.3833,-52.95,78.28,85,11,4.99,few clouds
358,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,19.57,few clouds
359,Sinfra,CI,6.6167,-5.9167,76.37,56,96,4.5,overcast clouds
360,Coihaique,CL,-45.5752,-72.0662,37.35,87,0,12.66,clear sky
361,Kirakira,SB,-10.4544,161.9205,78.42,86,9,4.72,clear sky
362,Leningradskiy,RU,69.3833,178.4167,32.77,99,100,15.21,snow
363,Sarkand,KZ,45.41,79.9186,88.05,17,2,9.91,clear sky
364,Kibaya,TZ,-5.3,36.5667,74.3,34,10,7.81,clear sky
365,Wawa,NG,9.9022,4.4192,83.52,63,88,6.85,light rain
366,Labuhan,ID,-6.8844,112.2051,80.37,72,57,7.09,broken clouds
367,Poddorye,RU,57.4695,31.1156,80.33,44,97,8.28,overcast clouds
368,Doctor Juan Leon Mallorquin,PY,-25.4,-55.2667,29.93,79,3,2.39,clear sky
369,Sciacca,IT,37.5082,13.0881,105.48,40,0,8.16,clear sky
370,Hengyang,CN,26.8881,112.615,93.6,47,30,2.55,scattered clouds
371,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,74,58,7.4,broken clouds
372,Rio Gallegos,AR,-51.6226,-69.2181,42.85,56,0,6.91,clear sky
373,Pocone,BR,-16.2567,-56.6228,57.88,22,58,7.52,broken clouds
374,Sitka,US,57.0531,-135.33,55.29,82,40,0.0,scattered clouds
375,Miri,MY,4.4148,114.0089,87.94,74,40,4.61,scattered clouds
