City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
519,Jacksonville,US,76.05,mist,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
522,Basudebpur,IN,82.81,overcast clouds,21.1353,86.7386,"Teli Sahi Chhak,Basathi"
523,Langenau,DE,75.9,scattered clouds,48.4962,10.1185,Gasthof Zum Bad
533,Athmallik,IN,76.39,light rain,20.7219,84.5348,"Mishra resident and Advocate chamber,Bangalasahi,Athamallik,Angul"
534,Tecoanapa,MX,76.84,overcast clouds,16.5167,-98.75,Hotel Manglares
535,Tukrah,LY,87.66,clear sky,32.5341,20.5791,Lokta restaurant
536,Svetlyy,RU,77.05,scattered clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
544,Luau,AO,85.78,clear sky,-10.7073,22.2247,Casa- Bernardo Cândido
546,Anloga,GH,82.62,broken clouds,5.7947,0.8973,Pin Drop Hotel
548,Roura,GF,77.97,overcast clouds,4.7263,-52.3274,Amazonie Découverte SARL
549,Teknaf,BD,81.82,light rain,20.8624,92.3058,Forestry Guesthouse
560,Altay,CN,83.19,broken clouds,47.8667,88.1167,Jinqiao Hotel
563,Poltar,SK,84.78,clear sky,48.4309,19.7941,Ubytovanie Penzión Iveta
565,Sibolga,ID,81.52,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
566,Ostersund,SE,77.61,clear sky,63.1792,14.6357,Best Western Hotel Gamla Teatern
569,Malanje,AO,77.38,broken clouds,-9.5402,16.341,Malanje Hotel
571,Beira,MZ,77.09,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
575,Zihuatanejo,MX,78.75,scattered clouds,17.6333,-101.55,La Casa Que Canta
576,Solwezi,ZM,76.78,clear sky,-12.1688,26.3894,Country Lodge Solwezi
578,Puri,IN,82.92,light rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
579,Peniche,PT,75.61,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
580,Meulaboh,ID,82.69,overcast clouds,4.1363,96.1285,Kost Pria
584,Benghazi,LY,86.14,clear sky,32.1167,20.0667,Tibesti Hotel
588,Honggang,CN,76.37,overcast clouds,46.4667,124.8667,亚布力滑雪旅游度假区
592,Wana,PK,87.93,few clouds,32.2989,69.5725,Rest House at Wana Camp
594,Tabou,CI,80.31,light rain,4.423,-7.3528,hotêl doufoulougou
599,Houma,US,80.98,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
601,Ormara,PK,82.98,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
602,Katsuura,JP,83.1,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
603,Kudahuvadhoo,MV,82.58,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
606,Fengcheng,CN,77.63,light rain,40.4536,124.0717,Hanting Hotel Fengcheng Phoenix Station
609,Lloret De Mar,ES,89.73,clear sky,41.6999,2.8457,Apartaments Guitart
610,Aljezur,PT,77.72,clear sky,37.3191,-8.8033,Amazigh Hostel
611,Shetpe,KZ,89.78,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
612,Makokou,GA,79.14,overcast clouds,0.5738,12.8642,Motel des voyageurs
613,Omboue,GA,82.18,few clouds,-1.5746,9.2618,Hotel Olako
616,Sakaraha,MG,82.98,clear sky,-22.9,44.5333,Le Relais
621,Magistralnyy,RU,83.64,few clouds,56.1725,107.4458,Магистраль
623,Ajnala,IN,89.56,haze,31.8425,74.7589,Gurlal Randhawa
624,Karpathos,GR,84.16,clear sky,35.507,27.2132,Alex
628,Harper,LR,79.63,light rain,4.375,-7.7169,Screensaver
